City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,kodinsk,60.5591,100.6035,69.49,38,3,12.95,RU,1687496400
115,qarauyl,49.4949,79.2408,75.09,31,98,20.76,KZ,1687500000
116,polatsk,55.6449,29.0012,79.88,38,41,9.71,BY,1687514400
117,pierre,44.4398,-100.4651,79.9,64,100,17.49,US,1687456800
118,bol'sherech'ye,56.2844,74.5968,54.99,47,100,9.69,RU,1687503600
119,soygaon,20.6895,75.7627,100.2,42,66,14.92,IN,1687501800
120,illizi,27.7686,10.5716,97.86,14,0,18.5,LY,1687518000
121,cable beach,-19.1783,121.2975,73.69,38,100,17.18,AU,1687489200
122,leava,-16.6786,-179.883,78.01,72,59,14.76,FJ,1687564800
123,ukata,10.9396,6.0239,86.81,61,95,14.79,NG,1687518000
124,gijang,35.2463,129.465,78.85,83,1,14.92,KR,1687489200
125,casa grande,32.773,-111.9849,101.62,9,0,19.86,US,1687460400
126,tanout,15.6491,10.0808,101.08,30,87,15.82,NE,1687518000
127,mukalla,15.9838,49.0026,105.89,20,0,15.1,YE,1687507200
128,pavlovka,53.5586,46.8423,66.7,45,13,8.63,RU,1687507200
129,tahmoor,-34.2771,150.6912,58.64,65,2,10.98,AU,1687482000
130,lloydminster,53.7146,-109.3981,66.24,44,46,10.16,CA,1687460400
131,al ghayzah,17.4373,50.0212,106.54,14,0,14.83,YE,1687507200
132,yuzhno-sukhokumsk,44.5081,45.4586,86.54,31,52,18.21,RU,1687510800
133,graaff-reinet,-32.3002,23.5823,71.38,20,0,23.69,ZA,1687514400
134,raudales malpaso,17.1912,-93.9069,95.49,31,14,6.51,MX,1687456800
135,pishin,30.6509,66.9072,105.08,18,0,11.61,PK,1687503600
136,salaga,9.0014,-0.4887,95.22,50,89,8.61,GH,1687521600
137,tahe,51.4907,124.18,68.88,34,42,10.74,CN,1687489200
138,maneromango,-7.2326,38.6098,85.46,45,5,11.03,TZ,1687510800
139,ciudad acuna,29.4542,-101.7986,104.2,23,99,21.0,MX,1687456800
140,tekeli,44.6493,78.6339,81.0,30,61,13.22,KZ,1687500000
141,siwa oasis,28.1727,25.6843,94.03,25,0,12.82,EG,1687514400
142,labuan lombok,-6.8651,116.663,81.5,73,16,11.41,ID,1687492800
143,khovd,47.6734,90.8618,64.15,36,89,21.68,MN,1687496400
144,al bawiti,27.2088,28.4687,97.34,20,0,14.12,EG,1687514400
145,belawan,3.8825,98.7268,83.59,79,91,10.09,ID,1687496400
146,botro,7.7743,-5.3105,89.15,59,91,8.61,CI,1687521600
147,plymouth,16.5362,-62.2551,83.39,80,8,27.58,MS,1687449600
148,hotan,38.6912,79.734,103.01,8,1,12.8,CN,1687500000
149,tres arroyos,-38.873,-59.8385,58.64,66,43,22.1,AR,1687449600
150,san fernando de apure,7.29,-68.2475,88.11,67,28,3.8,VE,1687449600
151,challapata,-19.5755,-66.6895,48.52,12,0,16.93,BO,1687449600
152,the pas,52.6481,-101.9482,68.76,36,31,11.16,CA,1687456800
153,kuybyshev,55.5791,78.3552,57.76,57,90,11.72,RU,1687500000
154,baro,8.4553,6.4451,88.81,63,87,7.56,NG,1687518000
155,altai,46.7356,96.5255,75.18,25,76,19.86,MN,1687496400
156,kapit,1.5265,114.1519,86.09,59,20,4.92,MY,1687492800
157,newman,-28.6014,122.1294,56.19,59,89,24.02,AU,1687489200
158,sabzevar,35.9699,56.6532,100.92,17,6,22.32,IR,1687505400
159,caconda,-14.3779,14.6309,83.62,10,0,8.66,AO,1687518000
160,chibougamau,54.4233,-77.2884,84.15,48,89,22.12,CA,1687453200
161,darhan,49.1056,105.5486,74.14,56,91,16.6,MN,1687492800
162,zarghun shahr,32.0952,68.7869,93.99,17,5,16.26,AF,1687501800
163,fort st. john,60.8572,-119.9878,77.63,28,80,7.47,CA,1687464000
164,kununurra,-20.0109,127.6919,77.29,27,38,12.5,AU,1687489200
165,chipinge,-20.863,32.6978,76.12,59,75,6.08,MZ,1687510800
166,kaoma,-15.6024,25.331,80.11,22,0,12.39,ZM,1687514400
167,shache,37.9619,76.8988,97.18,13,0,12.95,CN,1687500000
168,shahrak,33.9644,63.8093,87.89,11,0,22.1,AF,1687505400
169,tororo,0.6829,34.0101,78.69,62,67,5.82,UG,1687510800
170,labrador city,52.8625,-70.6966,79.05,36,60,23.24,CA,1687449600
171,kibre mengist,5.9154,39.8014,76.28,52,64,11.39,ET,1687510800
172,sao gabriel da cachoeira,1.1719,-67.4496,86.59,87,32,3.27,BR,1687449600
173,mazagao,1.4494,-52.7725,86.58,61,65,5.91,BR,1687446000
174,donaghadee,54.3117,-5.3084,60.6,90,100,25.21,GB,1687521600
175,'ajab shir,37.4536,45.6123,78.3,52,0,22.1,IR,1687509000
176,el bauga,18.3221,33.4422,104.31,10,79,13.82,SD,1687510800
177,sibolga,0.3912,97.9403,83.35,74,87,17.2,ID,1687496400
178,el calafate,-48.6934,-75.4282,42.15,92,100,12.93,CL,1687453200
179,igarka,67.4032,86.828,53.56,81,100,10.4,RU,1687496400
180,ladybrand,-29.2362,27.1561,62.38,27,0,11.07,ZA,1687514400
181,altamira,-3.4898,-53.1846,89.87,50,18,6.82,BR,1687446000
182,mingshui,37.1323,117.3792,106.25,17,2,12.19,CN,1687492800
183,mo i rana,66.5757,13.4827,57.09,83,100,8.3,NO,1687514400
184,berdigestyakh,64.7489,126.2658,73.94,41,18,13.76,RU,1687489200
185,detroit lakes,47.0306,-96.1618,77.99,79,96,10.33,US,1687456800
186,kapuskasing,53.1887,-81.2135,61.18,69,70,17.92,CA,1687453200
187,bontang,1.3027,115.6326,74.61,88,68,2.26,ID,1687492800
188,sultanhisar,38.0503,28.1868,75.96,34,0,9.55,TR,1687514400
189,pompeu,-18.6107,-45.0368,81.37,29,3,5.37,BR,1687446000
190,aykhal,67.9511,105.824,70.7,31,98,18.5,RU,1687496400
191,timbuktu,17.0074,-1.8969,107.46,24,11,26.46,ML,1687521600
192,ad dawadimi,23.7354,44.3867,104.31,7,1,15.39,SA,1687510800
193,santo antonio do ica,-3.7069,-68.2009,83.77,81,13,2.59,BR,1687449600
